"order_id","customer","city","state","order_date","product_name","category_name","store_name","sales_rep","total_units_sold","revenue"
4,"Nova Hess","Duarte","CA","2016-01-03","Ritchey Timberwolf Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Virgie Wiggins","2","1499.98"
5,"Arla Ellis","Utica","NY","2016-01-03","Electra Townie Original 7D EQ - 2016","Comfort Bicycles","Baldwin Bikes","Jannette David","1","599.99"
5,"Arla Ellis","Utica","NY","2016-01-03","Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Baldwin Bikes","Jannette David","1","429.00"
5,"Arla Ellis","Utica","NY","2016-01-03","Surly Straggler - 2016","Cyclocross Bicycles","Baldwin Bikes","Jannette David","2","3098.00"
5,"Arla Ellis","Utica","NY","2016-01-03","Electra Townie Original 7D EQ - 2016","Comfort Bicycles","Baldwin Bikes","Marcelene Boyer","1","599.99"
5,"Arla Ellis","Utica","NY","2016-01-03","Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer","1","429.00"
5,"Arla Ellis","Utica","NY","2016-01-03","Surly Straggler - 2016","Cyclocross Bicycles","Baldwin Bikes","Marcelene Boyer","2","3098.00"
5,"Arla Ellis","Utica","NY","2016-01-03","Electra Townie Original 7D EQ - 2016","Comfort Bicycles","Baldwin Bikes","Venita Daniel","1","599.99"
5,"Arla Ellis","Utica","NY","2016-01-03","Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel","1","429.00"
5,"Arla Ellis","Utica","NY","2016-01-03","Surly Straggler - 2016","Cyclocross Bicycles","Baldwin Bikes","Venita Daniel","2","3098.00"
6,"Sharyn Hopkins","Baldwinsville","NY","2016-01-04","Electra Townie Original 21D - 2016","Cruisers Bicycles","Baldwin Bikes","Jannette David","2","1099.98"
6,"Sharyn Hopkins","Baldwinsville","NY","2016-01-04","Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Baldwin Bikes","Jannette David","1","599.99"
6,"Sharyn Hopkins","Baldwinsville","NY","2016-01-04","Pure Cycles Western 3-Speed - Women's - 2015/2016","Cruisers Bicycles","Baldwin Bikes","Jannette David","1","449.00"
6,"Sharyn Hopkins","Baldwinsville","NY","2016-01-04","Surly Wednesday Frameset - 2016","Mountain Bikes","Baldwin Bikes","Jannette David","2","1999.98"
6,"Sharyn Hopkins","Baldwinsville","NY","2016-01-04","Trek Conduit+ - 2016","Electric Bikes","Baldwin Bikes","Jannette David","2","5999.98"
6,"Sharyn Hopkins","Baldwinsville","NY","2016-01-04","Electra Townie Original 21D - 2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer","2","1099.98"
6,"Sharyn Hopkins","Baldwinsville","NY","2016-01-04","Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer","1","599.99"
6,"Sharyn Hopkins","Baldwinsville","NY","2016-01-04","Pure Cycles Western 3-Speed - Women's - 2015/2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer","1","449.00"
6,"Sharyn Hopkins","Baldwinsville","NY","2016-01-04","Surly Wednesday Frameset - 2016","Mountain Bikes","Baldwin Bikes","Marcelene Boyer","2","1999.98"
6,"Sharyn Hopkins","Baldwinsville","NY","2016-01-04","Trek Conduit+ - 2016","Electric Bikes","Baldwin Bikes","Marcelene Boyer","2","5999.98"
6,"Sharyn Hopkins","Baldwinsville","NY","2016-01-04","Electra Townie Original 21D - 2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel","2","1099.98"
6,"Sharyn Hopkins","Baldwinsville","NY","2016-01-04","Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel","1","599.99"
6,"Sharyn Hopkins","Baldwinsville","NY","2016-01-04","Pure Cycles Western 3-Speed - Women's - 2015/2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel","1","449.00"
6,"Sharyn Hopkins","Baldwinsville","NY","2016-01-04","Surly Wednesday Frameset - 2016","Mountain Bikes","Baldwin Bikes","Venita Daniel","2","1999.98"
6,"Sharyn Hopkins","Baldwinsville","NY","2016-01-04","Trek Conduit+ - 2016","Electric Bikes","Baldwin Bikes","Venita Daniel","2","5999.98"
7,"Laureen Paul","Bellmore","NY","2016-01-04","Electra Moto 1 - 2016","Cruisers Bicycles","Baldwin Bikes","Jannette David","1","529.99"
7,"Laureen Paul","Bellmore","NY","2016-01-04","Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Baldwin Bikes","Jannette David","2","858.00"
7,"Laureen Paul","Bellmore","NY","2016-01-04","Surly Wednesday Frameset - 2016","Mountain Bikes","Baldwin Bikes","Jannette David","1","999.99"
7,"Laureen Paul","Bellmore","NY","2016-01-04","Electra Moto 1 - 2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer","1","529.99"
7,"Laureen Paul","Bellmore","NY","2016-01-04","Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer","2","858.00"
7,"Laureen Paul","Bellmore","NY","2016-01-04","Surly Wednesday Frameset - 2016","Mountain Bikes","Baldwin Bikes","Marcelene Boyer","1","999.99"
7,"Laureen Paul","Bellmore","NY","2016-01-04","Electra Moto 1 - 2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel","1","529.99"
7,"Laureen Paul","Bellmore","NY","2016-01-04","Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel","2","858.00"
7,"Laureen Paul","Bellmore","NY","2016-01-04","Surly Wednesday Frameset - 2016","Mountain Bikes","Baldwin Bikes","Venita Daniel","1","999.99"
8,"Leslie Higgins","Saratoga Springs","NY","2016-01-04","Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles","Baldwin Bikes","Jannette David","1","269.99"
8,"Leslie Higgins","Saratoga Springs","NY","2016-01-04","Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Baldwin Bikes","Jannette David","2","1199.98"
8,"Leslie Higgins","Saratoga Springs","NY","2016-01-04","Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles","Baldwin Bikes","Marcelene Boyer","1","269.99"
8,"Leslie Higgins","Saratoga Springs","NY","2016-01-04","Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer","2","1199.98"
8,"Leslie Higgins","Saratoga Springs","NY","2016-01-04","Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles","Baldwin Bikes","Venita Daniel","1","269.99"
8,"Leslie Higgins","Saratoga Springs","NY","2016-01-04","Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel","2","1199.98"
9,"Neil Mccall","San Carlos","CA","2016-01-05","Trek Slash 8 27.5 - 2016","Mountain Bikes","Santa Cruz Bikes","Fabiola Jackson","2","7999.98"
9,"Neil Mccall","San Carlos","CA","2016-01-05","Trek Slash 8 27.5 - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano","2","7999.98"
9,"Neil Mccall","San Carlos","CA","2016-01-05","Trek Slash 8 27.5 - 2016","Mountain Bikes","Santa Cruz Bikes","Mireya Copeland","2","7999.98"
9,"Neil Mccall","San Carlos","CA","2016-01-05","Trek Slash 8 27.5 - 2016","Mountain Bikes","Santa Cruz Bikes","Virgie Wiggins","2","7999.98"
10,"Alane Munoz","Yonkers","NY","2016-01-05","Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Cruisers Bicycles","Baldwin Bikes","Jannette David","1","269.99"
10,"Alane Munoz","Yonkers","NY","2016-01-05","Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer","1","269.99"
10,"Alane Munoz","Yonkers","NY","2016-01-05","Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel","1","269.99"
11,"Tarra Guerrero","Auburn","NY","2016-01-05","Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles","Baldwin Bikes","Jannette David","2","539.98"
11,"Tarra Guerrero","Auburn","NY","2016-01-05","Electra Townie Original 7D EQ - 2016","Cruisers Bicycles","Baldwin Bikes","Jannette David","2","1199.98"
11,"Tarra Guerrero","Auburn","NY","2016-01-05","Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Baldwin Bikes","Jannette David","1","1799.99"
11,"Tarra Guerrero","Auburn","NY","2016-01-05","Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles","Baldwin Bikes","Marcelene Boyer","2","539.98"
11,"Tarra Guerrero","Auburn","NY","2016-01-05","Electra Townie Original 7D EQ - 2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer","2","1199.98"
11,"Tarra Guerrero","Auburn","NY","2016-01-05","Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Baldwin Bikes","Marcelene Boyer","1","1799.99"
11,"Tarra Guerrero","Auburn","NY","2016-01-05","Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles","Baldwin Bikes","Venita Daniel","2","539.98"
11,"Tarra Guerrero","Auburn","NY","2016-01-05","Electra Townie Original 7D EQ - 2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel","2","1199.98"
11,"Tarra Guerrero","Auburn","NY","2016-01-05","Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Baldwin Bikes","Venita Daniel","1","1799.99"
12,"Marvin Mullins","San Diego","CA","2016-01-06","Surly Straggler 650b - 2016","Cyclocross Bicycles","Santa Cruz Bikes","Fabiola Jackson","1","1680.99"
12,"Marvin Mullins","San Diego","CA","2016-01-06","Trek Fuel EX 8 29 - 2016","Mountain Bikes","Santa Cruz Bikes","Fabiola Jackson","2","5799.98"
12,"Marvin Mullins","San Diego","CA","2016-01-06","Surly Straggler 650b - 2016","Cyclocross Bicycles","Santa Cruz Bikes","Genna Serrano","1","1680.99"
12,"Marvin Mullins","San Diego","CA","2016-01-06","Trek Fuel EX 8 29 - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano","2","5799.98"
12,"Marvin Mullins","San Diego","CA","2016-01-06","Surly Straggler 650b - 2016","Cyclocross Bicycles","Santa Cruz Bikes","Mireya Copeland","1","1680.99"
12,"Marvin Mullins","San Diego","CA","2016-01-06","Trek Fuel EX 8 29 - 2016","Mountain Bikes","Santa Cruz Bikes","Mireya Copeland","2","5799.98"
12,"Marvin Mullins","San Diego","CA","2016-01-06","Surly Straggler 650b - 2016","Cyclocross Bicycles","Santa Cruz Bikes","Virgie Wiggins","1","1680.99"
12,"Marvin Mullins","San Diego","CA","2016-01-06","Trek Fuel EX 8 29 - 2016","Mountain Bikes","Santa Cruz Bikes","Virgie Wiggins","2","5799.98"
13,"Patience Clayton","Niagara Falls","NY","2016-01-08","Electra Cruiser 1 (24-Inch) - 2016","Cruisers Bicycles","Baldwin Bikes","Jannette David","1","269.99"
13,"Patience Clayton","Niagara Falls","NY","2016-01-08","Electra Townie Original 7D EQ - 2016","Cruisers Bicycles","Baldwin Bikes","Jannette David","2","1199.98"
13,"Patience Clayton","Niagara Falls","NY","2016-01-08","Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Baldwin Bikes","Jannette David","2","1199.98"
13,"Patience Clayton","Niagara Falls","NY","2016-01-08","Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Baldwin Bikes","Jannette David","2","858.00"
13,"Patience Clayton","Niagara Falls","NY","2016-01-08","Electra Cruiser 1 (24-Inch) - 2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer","1","269.99"
13,"Patience Clayton","Niagara Falls","NY","2016-01-08","Electra Townie Original 7D EQ - 2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer","2","1199.98"
13,"Patience Clayton","Niagara Falls","NY","2016-01-08","Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer","2","1199.98"
13,"Patience Clayton","Niagara Falls","NY","2016-01-08","Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer","2","858.00"
13,"Patience Clayton","Niagara Falls","NY","2016-01-08","Electra Cruiser 1 (24-Inch) - 2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel","1","269.99"
13,"Patience Clayton","Niagara Falls","NY","2016-01-08","Electra Townie Original 7D EQ - 2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel","2","1199.98"
13,"Patience Clayton","Niagara Falls","NY","2016-01-08","Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel","2","1199.98"
13,"Patience Clayton","Niagara Falls","NY","2016-01-08","Pure Cycles Vine 8-Speed - 2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel","2","858.00"
14,"Maribel William","Torrance","CA","2016-01-09","Surly Ice Cream Truck Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Fabiola Jackson","1","469.99"
14,"Maribel William","Torrance","CA","2016-01-09","Surly Ice Cream Truck Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano","1","469.99"
14,"Maribel William","Torrance","CA","2016-01-09","Surly Ice Cream Truck Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Mireya Copeland","1","469.99"
14,"Maribel William","Torrance","CA","2016-01-09","Surly Ice Cream Truck Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Virgie Wiggins","1","469.99"
15,"Ellsworth Michael","Carmel","NY","2016-01-09","Electra Girl's Hawaii 1 (20-inch) - 2015/2016","Children Bicycles","Baldwin Bikes","Jannette David","2","599.98"
15,"Ellsworth Michael","Carmel","NY","2016-01-09","Electra Townie Original 21D - 2016","Cruisers Bicycles","Baldwin Bikes","Jannette David","2","1099.98"
15,"Ellsworth Michael","Carmel","NY","2016-01-09","Pure Cycles Western 3-Speed - Women's - 2015/2016","Cruisers Bicycles","Baldwin Bikes","Jannette David","2","898.00"
15,"Ellsworth Michael","Carmel","NY","2016-01-09","Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Baldwin Bikes","Jannette David","1","1799.99"
15,"Ellsworth Michael","Carmel","NY","2016-01-09","Electra Girl's Hawaii 1 (20-inch) - 2015/2016","Children Bicycles","Baldwin Bikes","Marcelene Boyer","2","599.98"
15,"Ellsworth Michael","Carmel","NY","2016-01-09","Electra Townie Original 21D - 2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer","2","1099.98"
15,"Ellsworth Michael","Carmel","NY","2016-01-09","Pure Cycles Western 3-Speed - Women's - 2015/2016","Cruisers Bicycles","Baldwin Bikes","Marcelene Boyer","2","898.00"
15,"Ellsworth Michael","Carmel","NY","2016-01-09","Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Baldwin Bikes","Marcelene Boyer","1","1799.99"
15,"Ellsworth Michael","Carmel","NY","2016-01-09","Electra Girl's Hawaii 1 (20-inch) - 2015/2016","Children Bicycles","Baldwin Bikes","Venita Daniel","2","599.98"
15,"Ellsworth Michael","Carmel","NY","2016-01-09","Electra Townie Original 21D - 2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel","2","1099.98"
15,"Ellsworth Michael","Carmel","NY","2016-01-09","Pure Cycles Western 3-Speed - Women's - 2015/2016","Cruisers Bicycles","Baldwin Bikes","Venita Daniel","2","898.00"
15,"Ellsworth Michael","Carmel","NY","2016-01-09","Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Baldwin Bikes","Venita Daniel","1","1799.99"
16,"Lea Key","Banning","CA","2016-01-12","Electra Cruiser 1 (24-Inch) - 2016","Children Bicycles","Santa Cruz Bikes","Fabiola Jackson","1","269.99"
16,"Lea Key","Banning","CA","2016-01-12","Electra Cruiser 1 (24-Inch) - 2016","Cruisers Bicycles","Santa Cruz Bikes","Fabiola Jackson","2","539.98"
16,"Lea Key","Banning","CA","2016-01-12","Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Cruisers Bicycles","Santa Cruz Bikes","Fabiola Jackson","1","269.99"
16,"Lea Key","Banning","CA","2016-01-12","Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Fabiola Jackson","1","1799.99"
16,"Lea Key","Banning","CA","2016-01-12","Electra Cruiser 1 (24-Inch) - 2016","Children Bicycles","Santa Cruz Bikes","Genna Serrano","1","269.99"
16,"Lea Key","Banning","CA","2016-01-12","Electra Cruiser 1 (24-Inch) - 2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano","2","539.98"
16,"Lea Key","Banning","CA","2016-01-12","Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano","1","269.99"
16,"Lea Key","Banning","CA","2016-01-12","Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano","1","1799.99"
16,"Lea Key","Banning","CA","2016-01-12","Electra Cruiser 1 (24-Inch) - 2016","Children Bicycles","Santa Cruz Bikes","Mireya Copeland","1","269.99"
16,"Lea Key","Banning","CA","2016-01-12","Electra Cruiser 1 (24-Inch) - 2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland","2","539.98"
16,"Lea Key","Banning","CA","2016-01-12","Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland","1","269.99"
16,"Lea Key","Banning","CA","2016-01-12","Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Mireya Copeland","1","1799.99"
16,"Lea Key","Banning","CA","2016-01-12","Electra Cruiser 1 (24-Inch) - 2016","Children Bicycles","Santa Cruz Bikes","Virgie Wiggins","1","269.99"
16,"Lea Key","Banning","CA","2016-01-12","Electra Cruiser 1 (24-Inch) - 2016","Cruisers Bicycles","Santa Cruz Bikes","Virgie Wiggins","2","539.98"
16,"Lea Key","Banning","CA","2016-01-12","Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Cruisers Bicycles","Santa Cruz Bikes","Virgie Wiggins","1","269.99"
16,"Lea Key","Banning","CA","2016-01-12","Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Virgie Wiggins","1","1799.99"
17,"Sindy Anderson","Pomona","CA","2016-01-12","Electra Girl's Hawaii 1 (20-inch) - 2015/2016","Children Bicycles","Santa Cruz Bikes","Fabiola Jackson","1","299.99"
17,"Sindy Anderson","Pomona","CA","2016-01-12","Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Santa Cruz Bikes","Fabiola Jackson","2","1199.98"
17,"Sindy Anderson","Pomona","CA","2016-01-12","Heller Shagamaw Frame - 2016","Mountain Bikes","Santa Cruz Bikes","Fabiola Jackson","1","1320.99"
17,"Sindy Anderson","Pomona","CA","2016-01-12","Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Fabiola Jackson","1","1799.99"
17,"Sindy Anderson","Pomona","CA","2016-01-12","Electra Girl's Hawaii 1 (20-inch) - 2015/2016","Children Bicycles","Santa Cruz Bikes","Genna Serrano","1","299.99"
17,"Sindy Anderson","Pomona","CA","2016-01-12","Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Santa Cruz Bikes","Genna Serrano","2","1199.98"
17,"Sindy Anderson","Pomona","CA","2016-01-12","Heller Shagamaw Frame - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano","1","1320.99"
17,"Sindy Anderson","Pomona","CA","2016-01-12","Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Genna Serrano","1","1799.99"
17,"Sindy Anderson","Pomona","CA","2016-01-12","Electra Girl's Hawaii 1 (20-inch) - 2015/2016","Children Bicycles","Santa Cruz Bikes","Mireya Copeland","1","299.99"
17,"Sindy Anderson","Pomona","CA","2016-01-12","Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Santa Cruz Bikes","Mireya Copeland","2","1199.98"
17,"Sindy Anderson","Pomona","CA","2016-01-12","Heller Shagamaw Frame - 2016","Mountain Bikes","Santa Cruz Bikes","Mireya Copeland","1","1320.99"
17,"Sindy Anderson","Pomona","CA","2016-01-12","Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Mireya Copeland","1","1799.99"
17,"Sindy Anderson","Pomona","CA","2016-01-12","Electra Girl's Hawaii 1 (20-inch) - 2015/2016","Children Bicycles","Santa Cruz Bikes","Virgie Wiggins","1","299.99"
17,"Sindy Anderson","Pomona","CA","2016-01-12","Electra Townie Original 7D EQ - Women's - 2016","Cruisers Bicycles","Santa Cruz Bikes","Virgie Wiggins","2","1199.98"
17,"Sindy Anderson","Pomona","CA","2016-01-12","Heller Shagamaw Frame - 2016","Mountain Bikes","Santa Cruz Bikes","Virgie Wiggins","1","1320.99"
17,"Sindy Anderson","Pomona","CA","2016-01-12","Trek Remedy 29 Carbon Frameset - 2016","Mountain Bikes","Santa Cruz Bikes","Virgie Wiggins","1","1799.99"
18,"Lanita Burton","Coachella","CA","2016-01-14","Electra Girl's Hawaii 1 (16-inch) - 2015/2016","Children Bicycles","Santa Cruz Bikes","Fabiola Jackson","1","269.99"
18,"Lanita Burton","Coachella","CA","2016-01-14","Electra Townie Original 7D - 2015/2016","Comfort Bicycles","Santa Cruz Bikes","Fabiola Jackson","2","999.98"
